airport1,airport2,airport3,min
GRR,ORD,MSN,194.25
MSN,ORD,GRR,194.25
GRR,ORD,MSN,195.0
MSN,ORD,GRR,195.0
GRR,ORD,MSN,195.75
MSN,ORD,GRR,195.75
GRR,ORD,MSN,196.5
GRR,ORD,MSN,196.5
MSN,ORD,GRR,196.5
MSN,ORD,GRR,196.5
GRR,ORD,MSN,197.25
GRR,ORD,MSN,197.25
MSN,ORD,GRR,197.25
MSN,ORD,GRR,197.25
GRR,ORD,MSN,198.0
MSN,ORD,GRR,198.0
GRR,ORD,MSN,198.75
MSN,ORD,GRR,198.75
GRR,ORD,MSN,199.5
MSN,ORD,GRR,199.5
MSN,ORD,IND,230.25
IND,ORD,MSN,230.25
MSN,ORD,IND,232.5
IND,ORD,MSN,232.5
GRR,ORD,IND,252.0
IND,ORD,GRR,252.0
GRR,ORD,IND,252.75
IND,ORD,GRR,252.75
GRR,ORD,IND,253.5
IND,ORD,GRR,253.5
GRR,ORD,IND,254.25
IND,ORD,GRR,254.25
GRR,ORD,IND,255.0
IND,ORD,GRR,255.0
AUS,IAH,SAT,263.25
SAT,IAH,AUS,263.25
FSD,MSP,DLH,270.75
DLH,MSP,FSD,270.75
FSD,MSP,DLH,271.5
FSD,MSP,DLH,271.5
FSD,MSP,DLH,271.5
FSD,MSP,DLH,271.5
FSD,MSP,DLH,271.5
DLH,MSP,FSD,271.5
DLH,MSP,FSD,271.5
DLH,MSP,FSD,271.5
DLH,MSP,FSD,271.5
DLH,MSP,FSD,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
CRP,IAH,AUS,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
AUS,IAH,CRP,271.5
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
FSD,MSP,DLH,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
DLH,MSP,FSD,272.25
CRP,IAH,AUS,272.25
AUS,IAH,CRP,272.25
FSD,MSP,DLH,273.0
FSD,MSP,DLH,273.0
FSD,MSP,DLH,273.0
FSD,MSP,DLH,273.0
FSD,MSP,DLH,273.0
DLH,MSP,FSD,273.0
DLH,MSP,FSD,273.0
DLH,MSP,FSD,273.0
DLH,MSP,FSD,273.0
DLH,MSP,FSD,273.0
CRP,IAH,AUS,273.0
AUS,IAH,CRP,273.0
FSD,MSP,DLH,273.75
DLH,MSP,FSD,273.75
AUS,IAH,DFW,289.5
DFW,IAH,AUS,289.5
CVG,ORD,MSN,296.25
CVG,ORD,MSN,296.25
MSN,ORD,CVG,296.25
MSN,ORD,CVG,296.25
CVG,ORD,MSN,297.0
MSN,ORD,CVG,297.0
CVG,ORD,MSN,297.75
MSN,ORD,CVG,297.75
CVG,ORD,MSN,298.5
CVG,ORD,MSN,298.5
MSN,ORD,CVG,298.5
MSN,ORD,CVG,298.5
CVG,ORD,MSN,299.25
MSN,ORD,CVG,299.25
CVG,ORD,MSN,300.0
MSN,ORD,CVG,300.0
CRP,IAH,SAT,311.25
CRP,IAH,SAT,311.25
CRP,IAH,SAT,311.25
CRP,IAH,SAT,311.25
CRP,IAH,SAT,311.25
CRP,IAH,SAT,311.25
