origin,airline,destination,cost
DTW,20304,AZO,25
AZO,20304,DTW,13
BNA,20304,ORD,9
IAH,20304,CRP,9
MOT,20304,MSP,8
LAX,20304,ABQ,7
DEN,19977,ORD,5
FSD,20304,MSP,5
ORD,20304,GRR,5
MSP,20304,DAY,5
BHM,20304,IAH,4
ABQ,20304,LAX,4
SLC,20304,LAX,4
FAT,20304,LAX,4
CVG,20304,ORD,4
DLH,20304,MSP,4
DEN,19977,SFO,4
LAX,20304,SMF,4
LAX,20304,FAT,4
SFO,19977,EWR,3
MSP,19977,ORD,3
EWR,19977,SFO,3
IAD,19977,SAN,3
SBN,20304,ATL,3
BNA,20304,DTW,3
ORD,20304,OMA,3
LAX,19977,EWR,2
ORD,19977,IAH,2
IAH,19977,MCO,2
IAD,19977,MCO,2
TUS,20304,LAX,2
ORD,19977,LAX,2
MCO,19977,ORD,2
IAD,19977,ORD,2
CMH,19977,ORD,2
DFW,19977,SFO,2
HNL,19977,SFO,2
PDX,19977,SFO,2
BOS,19977,IAD,2
ORD,19977,SMF,2
ORD,19977,BOS,2
SJC,19977,DEN,2
SFO,19977,DEN,2
ORD,19977,LAS,2
ORD,19977,LGA,2
ORD,19977,MIA,2
LAX,20304,TUS,2
ORD,19977,TPA,2
ORD,20304,PIT,2
ORD,19977,PIT,2
ORD,19977,AUS,2
ORD,20304,FAR,2
DEN,19977,SEA,1
ORD,19977,SEA,1
PHX,20304,SEA,1
MCO,19977,EWR,1
HNL,19977,EWR,1
DEN,19977,EWR,1
FLL,19977,EWR,1
ORD,19977,EWR,1
IAH,19977,EWR,1
PBI,20304,IAH,1
LAX,19977,IAH,1
SFO,19977,IAH,1
SLC,19977,IAH,1
EWR,19977,IAH,1
SNA,19977,IAH,1
IAD,19977,IAH,1
HNL,19977,IAH,1
BOS,19977,IAH,1
SAT,19977,IAH,1
SFO,19977,MCO,1
EWR,19977,LAX,1
SFO,19977,LAX,1
HNL,19977,LAX,1
IAH,19977,FLL,1
LGA,19977,ORD,1
RIC,19977,ORD,1
DCA,19977,ORD,1
PDX,19977,ORD,1
IND,19977,ORD,1
IAH,19977,ORD,1
CLT,19977,ORD,1
ROC,19977,ORD,1
ATL,19977,ORD,1
SAN,19977,ORD,1
SEA,19977,ORD,1
SFO,19977,ORD,1
EWR,19977,ORD,1
MSN,19977,ORD,1
PHX,19977,ORD,1
SFO,19977,PDX,1
IAD,19977,PDX,1
ORD,19977,PDX,1
MCI,19977,SFO,1
BOS,19977,SFO,1
ORD,19977,SFO,1
KOA,19977,SFO,1
IAD,19977,SFO,1
DFW,20304,SFO,1
IAH,19977,SFO,1
SNA,19977,SFO,1
SAN,19977,SFO,1
PDX,19977,IAD,1
ORD,19977,IAD,1
SAN,19977,IAD,1
SFO,19977,IAD,1
LAS,19977,IAD,1
LAX,19977,BOS,1
SFO,19977,BOS,1
SMF,19977,DEN,1
BIL,19977,DEN,1
MSP,19977,DEN,1
DFW,19977,DEN,1
SAN,19977,DEN,1
LGA,19977,DEN,1
SEA,19977,DEN,1
PHX,19977,DEN,1
MCO,19977,DEN,1
ORD,19977,DEN,1
IAD,19977,DEN,1
ATL,19977,DEN,1
LAS,19977,DEN,1
IAH,19977,DFW,1
ORD,19977,MSN,1
ORD,19977,SNA,1
IAH,19977,HNL,1
EWR,19977,HNL,1
LAX,19977,LAS,1
MOB,20304,ATL,1
DEN,19977,CMH,1
DEN,19977,SJC,1
DEN,19977,PHX,1
SEA,20304,PHX,1
IAH,19977,LGA,1
DEN,19977,LGA,1
ORD,19977,ROC,1
MIA,20304,PBI,1
IAD,19977,TPA,1
SFO,19977,PSP,1
ORD,19977,RSW,1
ORD,19977,BDL,1
ORD,19977,ORF,1
IAH,20304,ORF,1
ORD,19977,BWI,1
IAH,19977,BWI,1
IAH,20304,AUS,1
DEN,19977,MEM,1
IAH,19977,MFE,1
ORD,19977,OMA,1
ORD,19977,MSY,1
DEN,19977,BZN,1
DEN,19977,OKC,1
IAH,20304,TUL,1
ORD,20304,SGF,1
SFO,20304,RNO,1
